"","vetyears","natcity","natroad","natmass"
"3123","2 To 4 Years","About Right",NA,NA
"3124","2 To 4 Years","Too Little",NA,NA
"3135","Less Than 2 Yrs",NA,NA,NA
"3143","2 To 4 Years",NA,NA,NA
"3144","More Than 4 Yrs","Too Little",NA,NA
"3148","2 To 4 Years","Too Little",NA,NA
"3158","Less Than 2 Yrs","About Right",NA,NA
"3159","Less Than 2 Yrs","Too Little",NA,NA
"3163","More Than 4 Yrs","Too Little",NA,NA
"3164","2 To 4 Years","Too Little",NA,NA
"3165","2 To 4 Years","Too Little",NA,NA
"3169","More Than 4 Yrs","About Right",NA,NA
"3173","2 To 4 Years","Too Little",NA,NA
"3174","2 To 4 Years","Too Little",NA,NA
"3178","2 To 4 Years","About Right",NA,NA
"3185","More Than 4 Yrs","About Right",NA,NA
"3189","More Than 4 Yrs","Too Little",NA,NA
"3193","Less Than 2 Yrs","Too Little",NA,NA
"3195","2 To 4 Years","Too Little",NA,NA
"3203","2 To 4 Years","Too Little",NA,NA
"3204","2 To 4 Years",NA,NA,NA
"3219","2 To 4 Years","Too Little",NA,NA
"3220","2 To 4 Years","Too Little",NA,NA
"3223","2 To 4 Years","Too Little",NA,NA
"3224","2 To 4 Years","Too Little",NA,NA
"3225","More Than 4 Yrs","Too Little",NA,NA
"3229","More Than 4 Yrs","About Right",NA,NA
"3230","More Than 4 Yrs",NA,NA,NA
"3233","2 To 4 Years","Too Little",NA,NA
"3234","2 To 4 Years","Too Little",NA,NA
"3238","More Than 4 Yrs","Too Much",NA,NA
"3239","2 To 4 Years","Too Little",NA,NA
"3243","2 To 4 Years","Too Little",NA,NA
"3245","More Than 4 Yrs","About Right",NA,NA
"3249","More Than 4 Yrs","Too Little",NA,NA
"3263","2 To 4 Years","Too Little",NA,NA
"3264","2 To 4 Years","Too Little",NA,NA
"3265","2 To 4 Years","Too Little",NA,NA
"3269","Less Than 2 Yrs","About Right",NA,NA
"3273","2 To 4 Years","Too Little",NA,NA
"3275","More Than 4 Yrs","About Right",NA,NA
"3279","2 To 4 Years","Too Little",NA,NA
"3288","2 To 4 Years","Too Little",NA,NA
"3289","More Than 4 Yrs","Too Much",NA,NA
"3294","2 To 4 Years","Too Little",NA,NA
"3298","Less Than 2 Yrs","About Right",NA,NA
"3299","2 To 4 Years","About Right",NA,NA
"3307","2 To 4 Years","Too Little",NA,NA
"3314","Less Than 2 Yrs","Too Little",NA,NA
"3319","2 To 4 Years",NA,NA,NA
"3323","More Than 4 Yrs","Too Little",NA,NA
"3324","2 To 4 Years","About Right",NA,NA
"3328","Less Than 2 Yrs","About Right",NA,NA
"3333","2 To 4 Years","Too Little",NA,NA
"3339","More Than 4 Yrs","Too Little",NA,NA
"3340","2 To 4 Years","About Right",NA,NA
"3344","2 To 4 Years","About Right",NA,NA
"3353","2 To 4 Years","About Right",NA,NA
"3358","2 To 4 Years","Too Little",NA,NA
"3362","More Than 4 Yrs","Too Little",NA,NA
"3364","2 To 4 Years","About Right",NA,NA
"3374","2 To 4 Years","Too Much",NA,NA
"3378","2 To 4 Years","Too Much",NA,NA
"3383","2 To 4 Years","About Right",NA,NA
"3384","Less Than 2 Yrs","Too Little",NA,NA
"3389","More Than 4 Yrs","Too Little",NA,NA
"3393","2 To 4 Years","Too Little",NA,NA
"3394","2 To 4 Years","Too Little",NA,NA
"3403","Less Than 2 Yrs","Too Little",NA,NA
"3408","2 To 4 Years",NA,NA,NA
"3413","More Than 4 Yrs","Too Little",NA,NA
"3414","2 To 4 Years","Too Little",NA,NA
"3418","Less Than 2 Yrs",NA,NA,NA
"3427","2 To 4 Years","Too Little",NA,NA
"3429","More Than 4 Yrs","Too Much",NA,NA
"3432","2 To 4 Years","Too Little",NA,NA
"3433","More Than 4 Yrs","Too Little",NA,NA
"3438","Less Than 2 Yrs","Too Little",NA,NA
"3441","Less Than 2 Yrs","Too Little",NA,NA
"3442","2 To 4 Years","Too Much",NA,NA
"3446","Less Than 2 Yrs","About Right",NA,NA
"3456","2 To 4 Years","Too Little",NA,NA
"3457","More Than 4 Yrs","Too Little",NA,NA
"3461","2 To 4 Years","Too Much",NA,NA
"3462","More Than 4 Yrs","Too Much",NA,NA
"3463","More Than 4 Yrs","Too Little",NA,NA
"3467","2 To 4 Years","Too Little",NA,NA
"3472","2 To 4 Years","About Right",NA,NA
"3473","2 To 4 Years","About Right",NA,NA
"3476","2 To 4 Years","Too Little",NA,NA
"3478","More Than 4 Yrs","Too Much",NA,NA
"3482","More Than 4 Yrs",NA,NA,NA
"3488","More Than 4 Yrs",NA,NA,NA
"3492","2 To 4 Years","Too Little",NA,NA
"3496","More Than 4 Yrs","About Right",NA,NA
"3497","Less Than 2 Yrs","Too Little",NA,NA
"3508","More Than 4 Yrs","Too Little",NA,NA
"3517","2 To 4 Years","Too Much",NA,NA
"3521","More Than 4 Yrs","About Right",NA,NA
"3532","Less Than 2 Yrs","Too Little",NA,NA
"3537","More Than 4 Yrs","Too Little",NA,NA
"3542","Less Than 2 Yrs","Too Little",NA,NA
"3543","2 To 4 Years","Too Little",NA,NA
"3546","Less Than 2 Yrs","Too Little",NA,NA
"3547","2 To 4 Years","About Right",NA,NA
"3552","Less Than 2 Yrs","Too Little",NA,NA
"3558","Less Than 2 Yrs","About Right",NA,NA
"3573","More Than 4 Yrs","Too Much",NA,NA
"3577","2 To 4 Years","Too Little",NA,NA
"3578","2 To 4 Years",NA,NA,NA
"3582","More Than 4 Yrs","Too Little",NA,NA
"3597","2 To 4 Years","Too Little",NA,NA
"3602","2 To 4 Years","Too Little",NA,NA
"3603","Less Than 2 Yrs","Too Little",NA,NA
"3604","2 To 4 Years","Too Little",NA,NA
"3607","2 To 4 Years","Too Little",NA,NA
"3608","More Than 4 Yrs","Too Little",NA,NA
"3613","2 To 4 Years","Too Little",NA,NA
"3617","Less Than 2 Yrs","Too Little",NA,NA
"3618","More Than 4 Yrs","Too Little",NA,NA
"3623","Less Than 2 Yrs","Too Little",NA,NA
"3627","2 To 4 Years","Too Little",NA,NA
"3628","Less Than 2 Yrs","Too Little",NA,NA
"3632","2 To 4 Years","Too Little",NA,NA
"3633","Less Than 2 Yrs","Too Little",NA,NA
"3638","2 To 4 Years","Too Much",NA,NA
"3639","2 To 4 Years","Too Little",NA,NA
"3643","More Than 4 Yrs","Too Little",NA,NA
"3644","More Than 4 Yrs","About Right",NA,NA
"3647","2 To 4 Years","Too Little",NA,NA
"3653","2 To 4 Years","Too Little",NA,NA
"3657","2 To 4 Years","Too Little",NA,NA
"3667","2 To 4 Years","About Right",NA,NA
"3668","Less Than 2 Yrs","About Right",NA,NA
"3669","Less Than 2 Yrs","About Right",NA,NA
"3672","Less Than 2 Yrs","Too Little",NA,NA
"3673","More Than 4 Yrs","Too Little",NA,NA
"3691","2 To 4 Years","Too Much",NA,NA
"3696","2 To 4 Years","Too Little",NA,NA
"3701","More Than 4 Yrs","Too Little",NA,NA
"3702","Less Than 2 Yrs","Too Little",NA,NA
"3710","2 To 4 Years","About Right",NA,NA
"3716","Some,Dk How Long","Too Little",NA,NA
"3719","2 To 4 Years","Too Much",NA,NA
"3720","Less Than 2 Yrs","Too Much",NA,NA
"3725","2 To 4 Years","Too Little",NA,NA
"3726","2 To 4 Years","Too Little",NA,NA
"3744","Less Than 2 Yrs","Too Little",NA,NA
"3745","2 To 4 Years","Too Little",NA,NA
"3750","2 To 4 Years","Too Little",NA,NA
"3754","More Than 4 Yrs","About Right",NA,NA
"3761","2 To 4 Years",NA,NA,NA
"3764","2 To 4 Years","About Right",NA,NA
"3766","2 To 4 Years","About Right",NA,NA
"3769","2 To 4 Years","Too Much",NA,NA
"3775","More Than 4 Yrs",NA,NA,NA
"3780","Some,Dk How Long","Too Little",NA,NA
"3783","Less Than 2 Yrs","Too Little",NA,NA
"3784","More Than 4 Yrs","Too Much",NA,NA
"3788","More Than 4 Yrs","Too Little",NA,NA
"3790","2 To 4 Years",NA,NA,NA
"3808","2 To 4 Years","Too Little",NA,NA
"3812","2 To 4 Years","Too Little",NA,NA
"3822","2 To 4 Years","Too Little",NA,NA
"3827","More Than 4 Yrs","About Right",NA,NA
"3829","2 To 4 Years","About Right",NA,NA
"3832","Less Than 2 Yrs","Too Much",NA,NA
"3833","2 To 4 Years","Too Little",NA,NA
"3843","2 To 4 Years","Too Much",NA,NA
"3848","2 To 4 Years","Too Little",NA,NA
"3853","More Than 4 Yrs","Too Little",NA,NA
"3857","2 To 4 Years","About Right",NA,NA
"3858","Less Than 2 Yrs","Too Little",NA,NA
"3862","2 To 4 Years","Too Little",NA,NA
"3863","2 To 4 Years","Too Little",NA,NA
"3864","2 To 4 Years","Too Much",NA,NA
"3867","Less Than 2 Yrs","About Right",NA,NA
"3868","2 To 4 Years","About Right",NA,NA
"3872","2 To 4 Years","Too Little",NA,NA
"3873","2 To 4 Years","About Right",NA,NA
"3874","2 To 4 Years","Too Little",NA,NA
"3877","More Than 4 Yrs","Too Little",NA,NA
"3883","2 To 4 Years",NA,NA,NA
"3884","2 To 4 Years","About Right",NA,NA
"3887","Less Than 2 Yrs","Too Little",NA,NA
"3893","2 To 4 Years","Too Little",NA,NA
"3897","More Than 4 Yrs","About Right",NA,NA
"3898","More Than 4 Yrs",NA,NA,NA
"3908","2 To 4 Years","Too Little",NA,NA
"3912","More Than 4 Yrs","Too Little",NA,NA
"3917","2 To 4 Years","Too Little",NA,NA
"3923","2 To 4 Years","Too Little",NA,NA
